well,t_months,q_actual_sm3d,q_fitted_sm3d,q_forecast_sm3d,period
NO 15/9-F-1 C,0.0,631.47,906.1287841567122,,history
NO 15/9-F-1 C,0.03,1166.46,901.0576277734034,,history
NO 15/9-F-1 C,0.07,1549.81,894.3837276554077,,history
NO 15/9-F-1 C,0.1,1248.7,889.4428234490069,,history
NO 15/9-F-1 C,0.13,1345.78,884.5562100593188,,history
NO 15/9-F-1 C,0.16,1349.56,879.7229975517591,,history
NO 15/9-F-1 C,0.2,1345.61,873.3602802447355,,history
NO 15/9-F-1 C,0.23,1279.46,868.6483166266714,,history
NO 15/9-F-1 C,0.26,1225.62,863.986924248715,,history
NO 15/9-F-1 C,0.3,1212.9,857.849003634294,,history
NO 15/9-F-1 C,0.33,1074.04,853.3024912930925,,history
NO 15/9-F-1 C,0.36,1044.17,848.8039169898002,,history
NO 15/9-F-1 C,0.39,970.2,844.3525265186895,,history
NO 15/9-F-1 C,0.43,946.12,838.4894621489692,,history
NO 15/9-F-1 C,0.46,1002.83,834.1453219091522,,history
NO 15/9-F-1 C,0.49,925.31,829.8459628796945,,history
NO 15/9-F-1 C,0.53,913.86,824.1819552015094,,history
NO 15/9-F-1 C,0.56,176.8,819.9844309134753,,history
NO 15/9-F-1 C,0.59,944.19,815.8294456080811,,history
NO 15/9-F-1 C,0.62,823.41,811.7163558910989,,history
NO 15/9-F-1 C,0.66,769.01,806.2963192768101,,history
NO 15/9-F-1 C,0.69,740.8,802.2785557604767,,history
NO 15/9-F-1 C,0.72,713.24,798.3006346312274,,history
NO 15/9-F-1 C,0.76,743.83,793.0576992345417,,history
NO 15/9-F-1 C,0.79,736.09,789.1704702761107,,history
NO 15/9-F-1 C,0.82,782.88,785.3211625050559,,history
NO 15/9-F-1 C,0.85,834.68,781.5092237145146,,history
NO 15/9-F-1 C,0.89,788.8,776.4838337004567,,history
NO 15/9-F-1 C,0.92,783.06,772.7570011828124,,history
NO 15/9-F-1 C,0.95,743.77,769.0657725891234,,history
NO 15/9-F-1 C,0.99,735.41,764.198642086074,,history
NO 15/9-F-1 C,1.02,742.89,760.5885311836631,,history
NO 15/9-F-1 C,1.05,746.54,757.0123685806873,,history
NO 15/9-F-1 C,1.08,750.57,753.4696776601038,,history
NO 15/9-F-1 C,1.12,727.26,748.797349647066,,history
NO 15/9-F-1 C,1.15,715.5,745.3309553069387,,history
NO 15/9-F-1 C,1.18,695.01,741.8965069161337,,history
NO 15/9-F-1 C,1.22,698.77,737.3661774678856,,history
NO 15/9-F-1 C,1.25,704.08,734.0045739569373,,history
NO 15/9-F-1 C,1.28,715.93,730.6734820008544,,history
